0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07663968,0.0,0.021465799,0.09250557,0.09039045,0.09899198,0.09100346,0.08223868,0.0,0.06979143,0.0,0.033216596,0.050687097,0.032161944,0.0,0.0,0.04144999,0.0,0.0,0.0,0.045971677,0.0,0.0,0.0672467,0.026327813,0.0,0.05959044,0.0,0.020320635
0.18133348,0.0,0.0,0.13685715,0.10114376,0.08714474,0.14388673,0.0,0.0,0.1121448,0.0,0.0,0.08293315,0.0,0.0,0.0,0.097097665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034724973,0.0,0.022733549
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37832317,0.0,0.0,0.0,0.1850751,0.0,0.0,0.11668162,0.02610772,0.0,0.14014076,0.0,0.0,0.0,0.0,0.0,0.0,0.08582982,0.06784178,0.0,0.0,0.0
0.0,0.07638488,0.02260765,0.038795732,0.04162355,0.06765901,0.05164351,0.0,0.052439194,0.041996356,0.067473486,0.0,0.012449665,0.16229708,0.0,0.024355305,0.0,0.0,0.041539922,0.0,0.0,0.0,0.005423426,0.17765456,0.019941492,0.0,0.0,0.0053582755,0.09035687
0.12632248,0.0,0.0,0.0,0.05015239,0.0,0.06601825,0.0,0.07105969,0.13992819,0.00012684203,0.0,0.0,0.0,0.0,0.0,0.39646745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14992471,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.08598992,0.02818755,0.0,0.0,0.0,0.0,0.119513385,0.0,0.0,0.019360263,0.030228533,0.0,0.1124514,0.1759844,0.0,0.0,0.033852544,0.0,0.0,0.087495044,0.0,0.09249998,0.0,0.1252076,0.0,0.0,0.08922941,0.0
0.01314897,0.0,0.09670547,0.07518892,0.081176154,0.09366204,0.08882225,0.0,0.0,0.08027301,0.0,0.0,0.10054569,0.04422526,0.0,0.0,0.033089407,0.0,0.044391565,0.0,0.023012178,0.0,0.0,0.072988614,0.0,0.0,0.12336444,0.0,0.029406069
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07446457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92553544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
