0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.0,0.0,0.0,0.0,0.028694266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06247889,0.0,0.0,0.0,0.0,0.0,0.42436475,0.0,0.32532454,0.0,0.0,0.0,0.15913758,0.0,0.0,0.0
0.035256464,0.18163387,0.061895944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08589232,0.032182503,0.0,0.0,0.27425057,0.0,0.0,0.0,0.0,0.038791504,0.0,0.0,0.050098293,0.08393029,0.11917846,0.036889765,0.0,0.0
0.020399341,0.05388564,0.01966817,0.0,0.0,0.0,0.0,0.050192077,0.0,0.0,0.0,0.0,0.13469568,0.0081124725,0.055763707,0.0468343,0.083090685,0.06553771,0.0,0.0,0.05024867,0.0,0.06282142,0.0,0.031099178,0.0060350825,0.20626009,0.0,0.0,0.10535573
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28506804,0.0,0.0,0.0,0.0,0.71493196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.032243755,0.0,0.052370053,0.09355364,0.06459382,0.056178052,0.060970273,0.0,0.076303124,0.0645873,0.047669716,0.0,0.0,0.16014996,0.0,0.0,0.0,0.0,0.0,0.028950147,0.0,0.0,0.0,0.0,0.11043131,0.031818748,0.0,0.0560431,0.0,0.064137004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21885629,0.0,0.0,0.7811437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.045481842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17051084,0.0,0.21772195,0.21130034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35498506,0.0,0.0,0.0
0.027969848,0.0,0.03651098,0.075186536,0.064359955,0.05955488,0.05286804,0.027262356,0.049804095,0.043679807,0.046371657,0.017483925,0.0,0.16004194,0.0,0.009042264,0.0,0.0,0.0,0.03367187,0.0,0.15885086,0.0,0.0,0.0,0.032657154,0.0,0.057685427,0.0,0.04699829
0.0,0.0,0.2803373,0.0,0.0,0.0,0.077892244,0.0,0.0,0.0,0.0,0.08222345,0.0,0.06393433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3933215,0.102291144,0.0
0.073224254,0.10725596,0.04000453,0.0,0.04833284,0.0,0.0,0.07794687,0.035647664,0.0,0.0,0.04411812,0.027082132,0.010110022,0.057052817,0.020758454,0.07006976,0.081525624,0.041926518,0.028899875,0.04294114,0.01053195,0.038832117,0.05312103,0.040785115,0.0,0.0,0.0,0.0,0.049833156
0.0,0.0,0.2259841,0.0406459,0.0,0.0,0.13629285,0.0,0.0,0.0,0.0,0.10557012,0.0,0.13730432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09130617,0.0,0.0,0.0,0.20524766,0.0,0.0,0.040590458,0.01705841
0.166495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16816387,0.0,0.0,0.0,0.0,0.0,0.09306282,0.0,0.22879444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34348384
0.22278798,0.0,0.0,0.0,0.044607613,0.006962013,0.0,0.0,0.0,0.0,0.0160038,0.0,0.05750892,0.0,0.17025349,0.0,0.0,0.14508796,0.14833824,0.118113354,0.0,0.0,0.0,0.0,0.0,0.0,0.0703366,0.0,0.0,0.0
