0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0.0043423,0.07494462,0.0,0.0,0.10432118,0.18262993,0.08414167,0.0570962,0.0,0.04822473,0.0,0.0,0.0,0.012741999,0.050664734,0.0,0.0,0.0,0.0,0.015116201,0.0,0.007975385,0.11164613,0.0,0.06221145,0.0,0.0,0.0,0.035001006,0.0,0.14894243,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.022414332,0.0,0.0,0.03126565,0.29744953,0.0,0.0,0.0,0.2901085,0.0,0.0,0.0,0.0,0.09147342,0.0,0.0,0.0,0.0,0.0,0.26728854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.21122146,0.0,0.0,0.17833689,0.5855725,0.0,0.020937832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039313533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16351967,0.18337859,0.65310174,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.08455221,0.0,0.0,0.0,0.0,0.0,0.0,0.14762966,0.1448546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023876388,0.11403182,0.0,0.0,0.0,0.0,0.12631045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116758384,0.11465911,0.12732735,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43924615,0.0,0.017884172,0.0,0.0,0.0,0.0,0.0,0.08274202,0.06672481,0.0,0.0,0.0,0.0,0.0,0.0,0.08083343,0.0,0.11431288,0.0,0.0,0.0,0.0,0.10211729,0.09613916,0.0,0.0,0.0
0.0,0.043095186,0.0,0.036090642,0.0,0.0,0.0,0.0,0.0,0.6561585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17182648,0.0,0.0,0.0,0.09282919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04457794,0.058892537,0.0,0.0,0.11285734,0.1135006,0.15684378,0.09317993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09422482,0.0275225,0.09266475,0.0,0.0,0.0,0.0,0.078996055,0.0,0.016643168,0.11009657,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.712078,0.28792202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.13992363,0.0,0.0,0.20770878,0.29231605,0.08598148,0.10811209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087026395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078931615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
