model_mode,fold,antibiotic_id,antibiotic,n_val_pairs,antibiotic_auc
species_multihead_no_enrichment,1,52,Penicillin_with_other_infections,62,0.6827094474153298
species_multihead_no_enrichment,1,53,Penicillin_with_pneumonia,62,0.8333333333333334
species_multihead_no_enrichment,1,54,Piperacillin,3835,0.9169658287286536
species_multihead_no_enrichment,1,55,Piperacillin-Tazobactam,5893,0.87015773159287
species_multihead_no_enrichment,1,56,Polymyxin B,516,1.0
species_multihead_no_enrichment,1,57,Posaconazole,73,0.5911764705882353
species_multihead_no_enrichment,1,58,Pristinamycin,1304,0.9645137521648791
species_multihead_no_enrichment,1,59,Rifampicin,2366,0.8890809948131401
species_multihead_no_enrichment,1,60,Strepomycin_high_level,14,0.48888888888888893
species_multihead_no_enrichment,1,61,Teicoplanin,2793,0.9370776924015124
species_multihead_no_enrichment,1,62,Tetracycline,3328,0.9166076399788244
species_multihead_no_enrichment,1,63,Ticarcillin,1766,0.9097040068740956
species_multihead_no_enrichment,1,64,Tigecycline,3688,0.9934231152455313
species_multihead_no_enrichment,1,65,Tobramycin,9055,0.891757810743186
species_multihead_no_enrichment,1,66,Vancomycin,4145,0.9362926829268293
species_multihead_no_enrichment,1,67,Voriconazole,73,0.47101449275362317
species_multihead_no_enrichment,2,0,5-Fluorocytosine,58,0.9649122807017544
species_multihead_no_enrichment,2,1,Amikacin,8802,0.8909040645613093
species_multihead_no_enrichment,2,2,Amoxicillin,42,0.9070294784580499
species_multihead_no_enrichment,2,3,Amoxicillin-Clavulanic acid,5820,0.9111362773397789
species_multihead_no_enrichment,2,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,15,0.9400000000000001
species_multihead_no_enrichment,2,5,Ampicillin,4212,0.9552143642967055
species_multihead_no_enrichment,2,6,Anidulafungin,62,0.6488095238095237
species_multihead_no_enrichment,2,7,Azithromycin,45,0.7955555555555556
species_multihead_no_enrichment,2,8,Aztreonam,4173,0.8523326212784231
species_multihead_no_enrichment,2,9,Benzylpenicillin,142,0.8355263157894738
species_multihead_no_enrichment,2,10,Caspofungin,64,1.0
species_multihead_no_enrichment,2,11,Cefazolin,1942,0.9299280002405003
