model_mode,species,mean_species_micro_auc,std_species_micro_auc,mean_species_macro_antibiotic_auc,std_species_macro_antibiotic_auc,mean_n_val_pairs,mean_n_antibiotics_with_auc,n_folds
species_multihead_no_enrichment,Enterococcus_Faecium,0.9757455803635147,0.0024168940730366043,0.7966024261830281,0.02463764513957127,4839.4,22.2,5
species_multihead_no_enrichment,Escherichia_Coli,0.8576609392267354,0.0018721679419723136,0.6933568863347953,0.01810522186684715,24566.2,30.0,5
species_multihead_no_enrichment,Haemophilus_Influenzae,0.8532304495261325,0.012779859546163126,0.664154194773309,0.09919860235366512,542.4,10.0,5
species_multihead_no_enrichment,Klebsiella_Oxytoca,0.926591760549174,0.015110610094558847,0.6972245274591422,0.08694728664955208,4096.8,22.0,5
species_multihead_no_enrichment,Klebsiella_Pneumoniae,0.8766121951842377,0.005535090001487217,0.7246508039948858,0.025123474881117457,68138.8,32.8,5
species_multihead_no_enrichment,Klebsiella_Variicola,0.9261339305084555,0.018018048191289885,0.7483406486945284,0.026564486863338514,2105.2,14.6,5
species_multihead_no_enrichment,Morganella_Morganii,0.9296136602265411,0.008542196516332808,0.6487686086386365,0.0392257144206628,2667.4,21.6,5
species_multihead_no_enrichment,Proteus_Mirabilis,0.9168012113364208,0.0028220615097601337,0.7052351055538937,0.02439828943097138,8607.6,27.2,5
species_multihead_no_enrichment,Proteus_Vulgaris,0.978297034415703,0.00933118181660698,0.6638610475393796,0.11814655529664564,1294.8,11.8,5
species_multihead_no_enrichment,Pseudomonas_Aeruginosa,0.9470330788977854,0.004474394710302086,0.7926397104401737,0.02213434158241806,12675.2,16.6,5
species_multihead_no_enrichment,Serratia_Marcescens,0.9706961110792841,0.006369766088864995,0.6982831753403191,0.0575870704365684,3938.4,19.2,5
species_multihead_no_enrichment,Staphylococcus_Aureus,0.9279622987442039,0.0061360085164063405,0.7686594973999574,0.017536916680871626,28443.4,33.6,5
species_multihead_no_enrichment,Staphylococcus_Capitis,0.9276675762900968,0.028652686549266965,0.8249130403263274,0.04824400632644958,1734.4,21.4,5
species_multihead_no_enrichment,Staphylococcus_Epidermidis,0.9285145357660138,0.0031197093153732497,0.810187131015714,0.01768464669049375,23216.8,33.0,5
species_multihead_no_enrichment,Staphylococcus_Haemolyticus,0.9260565192073955,0.0204259407239269,0.8627032830469636,0.022756543342918566,1303.0,24.2,5
species_multihead_no_enrichment,Staphylococcus_Hominis,0.8609742264626391,0.03565083676953088,0.7562480408448569,0.04641135108468493,3265.0,22.8,5
species_multihead_no_enrichment,Staphylococcus_Lugdunensis,0.9040597950126064,0.04523360979377521,0.7199431035107089,0.03253004955447826,1950.0,18.8,5
species_multihead_no_enrichment,Stenotrophomonas_Maltophilia,0.975429646980215,0.00992751898115247,0.7194975530824771,0.07727393168239656,761.6,6.4,5
species_multihead_no_enrichment,Streptococcus_Pneumoniae,0.848354692345627,0.03559485345805969,0.717433474062754,0.06763588753491405,1041.2,23.8,5
