model_mode,fold,species_id,species,n_val_samples,n_val_pairs,auc
implicit_species_hypernetwork,4,9,Klebsiella_Oxytoca,251,4109,0.9388097068245294
implicit_species_hypernetwork,4,10,Klebsiella_Pneumoniae,3914,69309,0.8712616656807413
implicit_species_hypernetwork,4,11,Klebsiella_Variicola,130,2062,0.942139608463516
implicit_species_hypernetwork,4,12,Morganella_Morganii,174,2803,0.9292857465348322
implicit_species_hypernetwork,4,13,Proteus_Mirabilis,495,8843,0.9289340734512392
implicit_species_hypernetwork,4,14,Proteus_Vulgaris,63,923,0.981232492997199
implicit_species_hypernetwork,4,15,Pseudomonas_Aeruginosa,1057,12536,0.9503237548094484
implicit_species_hypernetwork,4,16,Serratia_Marcescens,263,4114,0.9692294821124519
implicit_species_hypernetwork,4,17,Staphylococcus_Aureus,1433,27930,0.9268615731527128
implicit_species_hypernetwork,4,18,Staphylococcus_Capitis,80,1590,0.9058186093069814
implicit_species_hypernetwork,4,19,Staphylococcus_Epidermidis,1155,23351,0.9210217660985219
implicit_species_hypernetwork,4,20,Staphylococcus_Haemolyticus,64,1371,0.9042606622967566
implicit_species_hypernetwork,4,21,Staphylococcus_Hominis,125,2611,0.8170344096244561
implicit_species_hypernetwork,4,22,Staphylococcus_Lugdunensis,100,2090,0.9014425347442749
implicit_species_hypernetwork,4,23,Stenotrophomonas_Maltophilia,130,839,0.974842947981307
implicit_species_hypernetwork,4,24,Streptococcus_Pneumoniae,92,979,0.8368113467726049
