antibiotic,ATC2,ATC3,ATC4,mechanism,beta_lactamase_inhibitor,metadata_found,model_mode,fold
Piperacillin-Tazobactam,J01,J01C,J01CR,cell_wall,1.0,1,bio_prior_gated_species_head,1
Polymyxin B,J01,J01X,J01XB,membrane,0.0,1,bio_prior_gated_species_head,1
Posaconazole,J02,J02A,J02AC,membrane,0.0,1,bio_prior_gated_species_head,1
Pristinamycin,J01,J01F,J01FG,protein_synthesis,0.0,1,bio_prior_gated_species_head,1
Rifampicin,J04,J04A,J04AB,DNA_RNA,0.0,1,bio_prior_gated_species_head,1
Strepomycin_high_level,J01,J01G,J01GA,protein_synthesis,0.0,1,bio_prior_gated_species_head,1
Teicoplanin,J01,J01X,J01XA,cell_wall,0.0,1,bio_prior_gated_species_head,1
Tetracycline,J01,J01A,J01AA,protein_synthesis,0.0,1,bio_prior_gated_species_head,1
Ticarcillin,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,1
Tigecycline,J01,J01A,J01AA,protein_synthesis,0.0,1,bio_prior_gated_species_head,1
Tobramycin,J01,J01G,J01GB,protein_synthesis,0.0,1,bio_prior_gated_species_head,1
Vancomycin,J01,J01X,J01XA,cell_wall,0.0,1,bio_prior_gated_species_head,1
Voriconazole,J02,J02A,J02AC,membrane,0.0,1,bio_prior_gated_species_head,1
5-Fluorocytosine,J02,J02A,J02AX,antifungal,0.0,1,bio_prior_gated_species_head,2
Amikacin,J01,J01G,J01GB,protein_synthesis,0.0,1,bio_prior_gated_species_head,2
Amoxicillin,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,2
Amoxicillin-Clavulanic acid,J01,J01C,J01CR,cell_wall,1.0,1,bio_prior_gated_species_head,2
Amoxicillin-Clavulanic acid_uncomplicated_HWI,J01,J01C,J01CR,cell_wall,1.0,1,bio_prior_gated_species_head,2
Ampicillin,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,2
Anidulafungin,J02,J02A,J02AX,cell_wall,0.0,1,bio_prior_gated_species_head,2
Azithromycin,J01,J01F,J01FA,protein_synthesis,0.0,1,bio_prior_gated_species_head,2
Aztreonam,J01,J01D,J01DF,cell_wall,0.0,1,bio_prior_gated_species_head,2
Benzylpenicillin,J01,J01C,J01CE,cell_wall,0.0,1,bio_prior_gated_species_head,2
Caspofungin,J02,J02A,J02AX,cell_wall,0.0,1,bio_prior_gated_species_head,2
Cefazolin,J01,J01D,J01DB,cell_wall,0.0,1,bio_prior_gated_species_head,2
Cefepime,J01,J01D,J01DE,cell_wall,0.0,1,bio_prior_gated_species_head,2
Cefixime,J01,J01D,J01DD,cell_wall,0.0,1,bio_prior_gated_species_head,2
Cefotaxime,J01,J01D,J01DD,cell_wall,0.0,1,bio_prior_gated_species_head,2
Cefoxitin,J01,J01D,J01DC,cell_wall,0.0,1,bio_prior_gated_species_head,2
Cefpodoxime,J01,J01D,J01DD,cell_wall,0.0,1,bio_prior_gated_species_head,2
Ceftazidime,J01,J01D,J01DD,cell_wall,0.0,1,bio_prior_gated_species_head,2
Ceftolozane-Tazobactam,J01,J01D,J01DI,cell_wall,1.0,1,bio_prior_gated_species_head,2
Ceftriaxone,J01,J01D,J01DD,cell_wall,0.0,1,bio_prior_gated_species_head,2
Cefuroxime,J01,J01D,J01DC,cell_wall,0.0,1,bio_prior_gated_species_head,2
Chloramphenicol,J01,J01B,J01BA,protein_synthesis,0.0,1,bio_prior_gated_species_head,2
Ciprofloxacin,J01,J01M,J01MA,DNA_RNA,0.0,1,bio_prior_gated_species_head,2
Clarithromycin,J01,J01F,J01FA,protein_synthesis,0.0,1,bio_prior_gated_species_head,2
Clindamycin,J01,J01F,J01FF,protein_synthesis,0.0,1,bio_prior_gated_species_head,2
Colistin,J01,J01X,J01XB,membrane,0.0,1,bio_prior_gated_species_head,2
Cotrimoxazol,J01,J01E,J01EE,metabolic,0.0,1,bio_prior_gated_species_head,2
Cotrimoxazole,J01,J01E,J01EE,metabolic,0.0,1,bio_prior_gated_species_head,2
Daptomycin,J01,J01X,J01XX,membrane,0.0,1,bio_prior_gated_species_head,2
Doxycycline,J01,J01A,J01AA,protein_synthesis,0.0,1,bio_prior_gated_species_head,2
Ertapenem,J01,J01D,J01DH,cell_wall,0.0,1,bio_prior_gated_species_head,2
Erythromycin,J01,J01F,J01FA,protein_synthesis,0.0,1,bio_prior_gated_species_head,2
Fluconazole,J02,J02A,J02AC,membrane,0.0,1,bio_prior_gated_species_head,2
