model_mode,fold,species_id,species,n_val_samples,n_val_pairs,species_micro_auc,species_macro_antibiotic_auc,n_antibiotics_with_auc,mean_pairs_per_antibiotic_with_auc
species_multihead_no_enrichment,4,9,Klebsiella_Oxytoca,251,4109,0.9459641367072925,0.8322549294629721,22,142.6818181818182
species_multihead_no_enrichment,4,10,Klebsiella_Pneumoniae,3914,69309,0.8776950639774316,0.7271412759194753,36,1923.111111111111
species_multihead_no_enrichment,4,11,Klebsiella_Variicola,130,2062,0.9070243666644695,0.7398502213736363,15,93.86666666666666
species_multihead_no_enrichment,4,12,Morganella_Morganii,174,2803,0.9246506614294099,0.6410983370076797,23,91.8695652173913
species_multihead_no_enrichment,4,13,Proteus_Mirabilis,495,8843,0.9207419574272724,0.7273169122447307,27,292.0
species_multihead_no_enrichment,4,14,Proteus_Vulgaris,63,923,0.9839572192513368,0.769797223632793,9,47.111111111111114
species_multihead_no_enrichment,4,15,Pseudomonas_Aeruginosa,1057,12536,0.9496526977313694,0.8317521896674668,20,539.85
species_multihead_no_enrichment,4,16,Serratia_Marcescens,263,4114,0.9712438937855663,0.7034684167505658,19,149.3684210526316
species_multihead_no_enrichment,4,17,Staphylococcus_Aureus,1433,27930,0.9259645398247591,0.7834588269377869,32,714.625
species_multihead_no_enrichment,4,18,Staphylococcus_Capitis,80,1590,0.9262227343622691,0.7779603842627072,24,51.125
species_multihead_no_enrichment,4,19,Staphylococcus_Epidermidis,1155,23351,0.9275208137097914,0.818120678147254,34,618.4117647058823
species_multihead_no_enrichment,4,20,Staphylococcus_Haemolyticus,64,1371,0.9243296160721888,0.8788923789668862,24,47.125
species_multihead_no_enrichment,4,21,Staphylococcus_Hominis,125,2611,0.8111562511427214,0.6866350874050116,22,89.72727272727273
species_multihead_no_enrichment,4,22,Staphylococcus_Lugdunensis,100,2090,0.9071260369541639,0.7286369158786286,20,69.25
species_multihead_no_enrichment,4,23,Stenotrophomonas_Maltophilia,130,839,0.9739236190913966,0.6223496646480057,6,55.0
species_multihead_no_enrichment,4,24,Streptococcus_Pneumoniae,92,979,0.8550462932562874,0.7779132394353966,23,35.91304347826087
implicit_species_no_enrichment,0,0,Campylobacter_Jejuni,81,190,0.8753720238095237,0.744819433440123,3,57.333333333333336
implicit_species_no_enrichment,0,1,Candida_Albicans,53,403,0.8302857142857143,0.7151763484100441,8,50.375
implicit_species_no_enrichment,0,2,Citrobacter_Freundii,131,2099,0.8693672923824018,0.6811510798280519,23,79.0
implicit_species_no_enrichment,0,3,Citrobacter_Koseri,160,2567,0.921716310957896,0.596219473473607,17,101.70588235294117
implicit_species_no_enrichment,0,4,Enterobacter_Cloacae,345,5131,0.8769084316839098,0.6477502363062418,24,189.125
implicit_species_no_enrichment,0,5,Enterococcus_Faecalis,925,14081,0.989150625111008,0.7145123738139151,21,534.8095238095239
implicit_species_no_enrichment,0,6,Enterococcus_Faecium,465,5028,0.9745731466277443,0.8292084247337221,21,198.47619047619048
implicit_species_no_enrichment,0,7,Escherichia_Coli,1533,24374,0.8590107069130826,0.7078027002563014,30,805.5666666666667
implicit_species_no_enrichment,0,8,Haemophilus_Influenzae,170,579,0.8483320839580211,0.775089128755317,12,37.916666666666664
implicit_species_no_enrichment,0,9,Klebsiella_Oxytoca,238,3941,0.9035724882069373,0.6332161343569888,22,129.04545454545453
implicit_species_no_enrichment,0,10,Klebsiella_Pneumoniae,3850,68001,0.8685658998394894,0.7297515023461709,30,2220.1666666666665
implicit_species_no_enrichment,0,11,Klebsiella_Variicola,147,2349,0.9481235248856652,0.8112452951153453,15,107.4
implicit_species_no_enrichment,0,12,Morganella_Morganii,158,2619,0.9211705607054445,0.565313369464869,21,89.57142857142857
implicit_species_no_enrichment,0,13,Proteus_Mirabilis,473,8711,0.9120450724365623,0.6571004836313198,30,275.2
implicit_species_no_enrichment,0,14,Proteus_Vulgaris,86,1274,0.9825731821396793,0.734571346915097,8,62.25
implicit_species_no_enrichment,0,15,Pseudomonas_Aeruginosa,1090,12698,0.9482257721227987,0.7797348804104749,16,655.875
implicit_species_no_enrichment,0,16,Serratia_Marcescens,245,3807,0.9661699777314092,0.6066489905818513,19,137.47368421052633
implicit_species_no_enrichment,0,17,Staphylococcus_Aureus,1413,27955,0.9301013519059712,0.7792694766179596,32,750.53125
implicit_species_no_enrichment,0,18,Staphylococcus_Capitis,89,1827,0.9514604094055275,0.9207128942952245,21,66.28571428571429
implicit_species_no_enrichment,0,19,Staphylococcus_Epidermidis,1128,22712,0.9209369253413627,0.8017972167132357,31,687.483870967742
implicit_species_no_enrichment,0,20,Staphylococcus_Haemolyticus,55,1205,0.945250983573088,0.8816844653337025,25,40.6
implicit_species_no_enrichment,0,21,Staphylococcus_Hominis,174,3715,0.8742759717003837,0.7869360353186522,24,123.91666666666667
implicit_species_no_enrichment,0,22,Staphylococcus_Lugdunensis,104,2135,0.8409323538176494,0.6539897328367732,18,71.55555555555556
implicit_species_no_enrichment,0,23,Stenotrophomonas_Maltophilia,131,609,0.9827428807020644,0.8194062454376494,7,38.714285714285715
implicit_species_no_enrichment,0,24,Streptococcus_Pneumoniae,123,1304,0.8329316124127444,0.6639781889896068,23,46.391304347826086
implicit_species_no_enrichment,1,0,Campylobacter_Jejuni,93,222,0.9014434127057093,0.5548500881834215,3,65.66666666666667
implicit_species_no_enrichment,1,1,Candida_Albicans,74,587,0.8251537935748462,0.7812356991331295,8,73.375
implicit_species_no_enrichment,1,2,Citrobacter_Freundii,133,2208,0.8297160038405175,0.6042434722906925,21,77.52380952380952
implicit_species_no_enrichment,1,3,Citrobacter_Koseri,165,2677,0.9825294480265241,0.8466367002189948,16,94.875
implicit_species_no_enrichment,1,4,Enterobacter_Cloacae,311,4634,0.9097183711403026,0.7361969949938331,23,154.0
implicit_species_no_enrichment,1,5,Enterococcus_Faecalis,895,14085,0.9860369691430557,0.697808689123763,22,515.7727272727273
implicit_species_no_enrichment,1,6,Enterococcus_Faecium,428,4553,0.9779660069782029,0.7650102064867678,23,166.1304347826087
implicit_species_no_enrichment,1,7,Escherichia_Coli,1578,25297,0.8648135565094652,0.6948310173903219,29,817.7241379310345
implicit_species_no_enrichment,1,8,Haemophilus_Influenzae,166,532,0.8330418731176529,0.6395266532568462,7,42.42857142857143
implicit_species_no_enrichment,1,9,Klebsiella_Oxytoca,251,4169,0.9359022332990907,0.6940189989555989,24,136.54166666666666
implicit_species_no_enrichment,1,10,Klebsiella_Pneumoniae,3838,67924,0.881562093580429,0.7586407784109415,37,1818.2702702702702
implicit_species_no_enrichment,1,11,Klebsiella_Variicola,112,1766,0.9045243539111758,0.6395367190862009,12,83.66666666666667
implicit_species_no_enrichment,1,12,Morganella_Morganii,166,2727,0.9384906721574431,0.6532128305703135,21,100.28571428571429
implicit_species_no_enrichment,1,13,Proteus_Mirabilis,482,8700,0.9143807093443808,0.7076704001640145,24,277.2916666666667
implicit_species_no_enrichment,1,14,Proteus_Vulgaris,93,1370,0.9811605761350146,0.5907269875003516,12,46.583333333333336
implicit_species_no_enrichment,1,15,Pseudomonas_Aeruginosa,1109,13027,0.9396013156318663,0.7698751709463593,15,693.4666666666667
implicit_species_no_enrichment,1,16,Serratia_Marcescens,244,3880,0.9682581116082103,0.6064788196591915,19,140.94736842105263
implicit_species_no_enrichment,1,17,Staphylococcus_Aureus,1488,29631,0.9249414217295593,0.6987629974581219,36,750.8611111111111
implicit_species_no_enrichment,1,18,Staphylococcus_Capitis,90,1799,0.9451434969006853,0.8138870259328972,20,67.2
implicit_species_no_enrichment,1,19,Staphylococcus_Epidermidis,1137,23116,0.9414786255226153,0.8392916834463564,33,661.969696969697
implicit_species_no_enrichment,1,20,Staphylococcus_Haemolyticus,56,1236,0.9245884241317044,0.8540130790108128,24,41.125
implicit_species_no_enrichment,1,21,Staphylococcus_Hominis,149,3117,0.8872207180057317,0.7395171287095453,22,108.04545454545455
implicit_species_no_enrichment,1,22,Staphylococcus_Lugdunensis,89,1763,0.9384385622531907,0.774609416630666,21,52.38095238095238
implicit_species_no_enrichment,1,23,Stenotrophomonas_Maltophilia,122,740,0.9763041372630413,0.7534001736269668,6,49.333333333333336
implicit_species_no_enrichment,1,24,Streptococcus_Pneumoniae,98,921,0.8157924412797628,0.7371351716622394,28,28.857142857142858
implicit_species_no_enrichment,2,0,Campylobacter_Jejuni,100,229,0.9029850746268656,0.6884567468988423,3,69.66666666666667
implicit_species_no_enrichment,2,1,Candida_Albicans,64,487,0.8623014283807234,0.7412544669322868,8,60.875
implicit_species_no_enrichment,2,2,Citrobacter_Freundii,115,1855,0.8989148507919839,0.6043440170850221,23,70.34782608695652
implicit_species_no_enrichment,2,3,Citrobacter_Koseri,171,2732,0.9249745291276765,0.7558241091375557,23,103.08695652173913
implicit_species_no_enrichment,2,4,Enterobacter_Cloacae,324,4816,0.9030796094885352,0.6749532632502253,22,176.63636363636363
implicit_species_no_enrichment,2,5,Enterococcus_Faecalis,981,14954,0.9880594910490006,0.7296465123881473,18,521.7222222222222
implicit_species_no_enrichment,2,6,Enterococcus_Faecium,462,4954,0.9756624005805417,0.8036142795247663,23,179.2608695652174
implicit_species_no_enrichment,2,7,Escherichia_Coli,1539,24279,0.857992549849525,0.6846649459069953,30,802.8666666666667
implicit_species_no_enrichment,2,8,Haemophilus_Influenzae,152,452,0.8279619398403928,0.63531217338037,7,44.42857142857143
implicit_species_no_enrichment,2,9,Klebsiella_Oxytoca,243,4043,0.940812512418041,0.7371080613027248,19,145.3684210526316
implicit_species_no_enrichment,2,10,Klebsiella_Pneumoniae,3813,67329,0.876743772915773,0.743464570017041,30,2198.6
implicit_species_no_enrichment,2,11,Klebsiella_Variicola,141,2205,0.9614913788612804,0.7839578413936527,18,83.83333333333333
implicit_species_no_enrichment,2,12,Morganella_Morganii,159,2628,0.9393440016852341,0.6832934142842719,21,89.0
implicit_species_no_enrichment,2,13,Proteus_Mirabilis,465,8526,0.9158070468006207,0.6667954736945196,28,280.5357142857143
implicit_species_no_enrichment,2,14,Proteus_Vulgaris,110,1667,0.9784954470470347,0.7735278894415127,17,65.3529411764706
implicit_species_no_enrichment,2,15,Pseudomonas_Aeruginosa,1018,12053,0.9491409877913274,0.7635908794681988,17,584.3529411764706
implicit_species_no_enrichment,2,16,Serratia_Marcescens,244,3890,0.9641715469993228,0.7364378992941816,20,145.0
implicit_species_no_enrichment,2,17,Staphylococcus_Aureus,1454,28377,0.9088223342786682,0.768835433622216,35,717.5428571428571
implicit_species_no_enrichment,2,18,Staphylococcus_Capitis,78,1703,0.8745748022966092,0.7234830758234404,20,61.55
implicit_species_no_enrichment,2,19,Staphylococcus_Epidermidis,1169,23774,0.9255101311946973,0.8039451469366686,33,678.030303030303
implicit_species_no_enrichment,2,20,Staphylococcus_Haemolyticus,60,1334,0.8879540550260745,0.8462536592558516,24,44.125
implicit_species_no_enrichment,2,21,Staphylococcus_Hominis,172,3606,0.8938640245167675,0.7874023432309527,24,121.29166666666667
implicit_species_no_enrichment,2,22,Staphylococcus_Lugdunensis,90,1820,0.9664125927098891,0.7780315023469907,16,52.0625
implicit_species_no_enrichment,2,23,Stenotrophomonas_Maltophilia,130,722,0.9624475524475523,0.6894667010322647,6,50.333333333333336
implicit_species_no_enrichment,2,24,Streptococcus_Pneumoniae,112,1223,0.818677270750304,0.7263310454901044,23,44.608695652173914
implicit_species_no_enrichment,3,0,Campylobacter_Jejuni,97,258,0.8733282674772037,0.7818925911057585,5,50.6
implicit_species_no_enrichment,3,1,Candida_Albicans,58,381,0.8933717579250721,0.8796412138325884,7,54.42857142857143
implicit_species_no_enrichment,3,2,Citrobacter_Freundii,136,2168,0.8971590909090907,0.6755661586587407,22,86.13636363636364
implicit_species_no_enrichment,3,3,Citrobacter_Koseri,181,2902,0.9833449652267607,0.8462496384382977,20,105.5
implicit_species_no_enrichment,3,4,Enterobacter_Cloacae,303,4464,0.9168893335268018,0.6580134882782596,25,158.76
implicit_species_no_enrichment,3,5,Enterococcus_Faecalis,896,13774,0.9877418861562348,0.7198235856975508,20,550.7
implicit_species_no_enrichment,3,6,Enterococcus_Faecium,444,4866,0.9758284060722314,0.7840150334255509,22,193.54545454545453
implicit_species_no_enrichment,3,7,Escherichia_Coli,1556,24761,0.8622942454827665,0.6568533308514748,31,792.1290322580645
implicit_species_no_enrichment,3,8,Haemophilus_Influenzae,203,679,0.8312398260404772,0.6966885296576164,12,46.916666666666664
