model_mode,fold,antibiotic_id,antibiotic,n_val_pairs,auc
species_only,2,53,Penicillin_with_pneumonia,54,0.8653846153846153
species_only,2,54,Piperacillin,3680,0.9245426557071801
species_only,2,55,Piperacillin-Tazobactam,5915,0.8701342162573533
species_only,2,56,Polymyxin B,505,0.9986077643908969
species_only,2,57,Posaconazole,61,0.23333333333333328
species_only,2,58,Pristinamycin,1358,0.962336823906597
species_only,2,59,Rifampicin,2354,0.8778686423895062
species_only,2,60,Strepomycin_high_level,21,0.6634615384615384
species_only,2,61,Teicoplanin,2891,0.9399822635324757
species_only,2,62,Tetracycline,3378,0.9010135551170341
species_only,2,63,Ticarcillin,1676,0.9242126774766415
species_only,2,64,Tigecycline,3713,0.992116937626182
species_only,2,65,Tobramycin,8954,0.8887306124371469
species_only,2,66,Vancomycin,4271,0.9825109338821714
species_only,2,67,Voriconazole,62,0.6721311475409837
species_only,3,0,Amikacin,8823,0.8719778321760783
species_only,3,1,Amoxicillin,51,0.8788819875776397
species_only,3,2,Amoxicillin-Clavulanic acid,5725,0.9176507501891525
species_only,3,3,Amoxicillin-Clavulanic acid_uncomplicated_HWI,19,0.8142857142857143
species_only,3,4,Ampicillin,4313,0.9513108841177531
species_only,3,5,Anidulafungin,54,0.7202380952380952
species_only,3,6,Azithromycin,40,0.81640625
species_only,3,7,Aztreonam,4371,0.8528238956985601
species_only,3,8,Benzylpenicillin,128,0.7771428571428571
species_only,3,9,Caspofungin,58,0.9924528301886792
species_only,3,10,Cefazolin,1929,0.9296726272532725
species_only,3,11,Cefepime,10035,0.8851468631952418
species_only,3,12,Cefixime,2989,0.8002262562911029
species_only,3,13,Cefotaxime,3940,0.8955510583684893
species_only,3,14,Cefoxitin,1292,0.954839715710711
species_only,3,15,Cefpodoxime,1199,0.8924498746867169
species_only,3,16,Ceftazidime,7704,0.8493664299797801
species_only,3,17,Ceftolozane-Tazobactam,21,0.8333333333333333
species_only,3,18,Ceftriaxone,5315,0.8954639382634775
species_only,3,19,Cefuroxime,6829,0.8795433802904052
species_only,3,20,Chloramphenicol,1588,0.9557326351772353
species_only,3,21,Ciprofloxacin,12182,0.8606970661944149
species_only,3,22,Clarithromycin,255,0.7683881064162755
species_only,3,23,Clindamycin,3291,0.8754751191096567
species_only,3,24,Colistin,7688,0.9730488489612579
species_only,3,25,Cotrimoxazol,278,0.8590222960808752
species_only,3,26,Cotrimoxazole,5542,0.8479549492700594
species_only,3,27,Daptomycin,3499,0.925
species_only,3,28,Doxycycline,170,0.73125
species_only,3,29,Ertapenem,7306,0.9258205097136396
species_only,3,30,Erythromycin,3406,0.8809262425408566
species_only,3,31,Fluconazole,57,0.4545454545454546
species_only,3,32,Fosfomycin,6020,0.7418816232759682
species_only,3,33,Fusidic acid,2495,0.8436185627330068
species_only,3,34,Gentamicin,8366,0.9094005784863032
species_only,3,35,Gentamicin_high_level,124,0.865
species_only,3,36,Imipenem,11428,0.9710778866822941
species_only,3,37,Itraconazole,51,0.44805194805194803
species_only,3,38,Levofloxacin,9067,0.8727659779907703
species_only,3,39,Linezolid,3828,0.8972746331236898
species_only,3,40,Meropenem,9704,0.9424286605418133
species_only,3,41,Meropenem_with_meningitis,28,0.7565217391304349
species_only,3,42,Meropenem_without_meningitis,21,0.31578947368421056
species_only,3,43,Micafungin,54,0.9513888888888888
species_only,3,44,Minocycline,1929,0.8720628521086533
species_only,3,45,Moxifloxacin,173,0.9699300699300699
species_only,3,46,Mupirocin,1616,0.9548169400386151
species_only,3,47,Nitrofurantoin,4211,0.8823308945140582
species_only,3,48,Norfloxacin,4954,0.8617536828243872
species_only,3,49,Oxacillin,3079,0.9240733601947542
species_only,3,50,Penicillin,3455,0.9373610701868113
species_only,3,51,Penicillin_with_meningitis,37,0.8125
species_only,3,52,Penicillin_with_other_infections,37,0.8125
species_only,3,53,Penicillin_with_pneumonia,37,0.9722222222222222
species_only,3,54,Piperacillin,3796,0.9367115933024263
species_only,3,55,Piperacillin-Tazobactam,5768,0.8781718262589127
species_only,3,56,Polymyxin B,524,1.0
species_only,3,57,Posaconazole,51,0.56
species_only,3,58,Pristinamycin,1295,0.9706447604184729
species_only,3,59,Rifampicin,2321,0.8583258916645679
species_only,3,60,Strepomycin_high_level,18,0.5846153846153846
species_only,3,61,Teicoplanin,2790,0.9613284132841329
species_only,3,62,Tetracycline,3294,0.9020070771353038
species_only,3,63,Ticarcillin,1814,0.9290814833149659
species_only,3,64,Tigecycline,3680,0.9944472507712002
species_only,3,65,Tobramycin,8998,0.8809166238871985
species_only,3,66,Vancomycin,4127,0.9512330556916544
species_only,3,67,Voriconazole,56,0.7636363636363637
species_only,4,0,5-Fluorocytosine,63,0.8709677419354839
species_only,4,1,Amikacin,8944,0.8812723283189442
species_only,4,2,Amoxicillin,33,0.9007352941176471
species_only,4,3,Amoxicillin-Clavulanic acid,5677,0.908510917763918
species_only,4,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,13,1.0
species_only,4,5,Ampicillin,4247,0.9611576718446947
species_only,4,6,Anidulafungin,63,0.5743440233236151
species_only,4,7,Azithromycin,40,0.8131868131868132
