model_mode,antibiotic,mean_antibiotic_auc,std_antibiotic_auc,mean_n_val_pairs,n_folds
species_multihead_no_enrichment,Ceftolozane-Tazobactam,0.6742087542087543,0.2012867719034228,18.6,5
species_multihead_no_enrichment,Ceftriaxone,0.8966541584239256,0.006086545580442625,5354.6,5
species_multihead_no_enrichment,Cefuroxime,0.8827846044162181,0.003551199534213891,6751.6,5
species_multihead_no_enrichment,Chloramphenicol,0.9521730510741223,0.003401961560240879,1565.6,5
species_multihead_no_enrichment,Ciprofloxacin,0.8732734685200738,0.004376600092921808,12192.2,5
species_multihead_no_enrichment,Clarithromycin,0.7712625551311995,0.051471200159610965,263.2,5
species_multihead_no_enrichment,Clindamycin,0.8992248754585711,0.0059935932390034795,3330.6,5
species_multihead_no_enrichment,Colistin,0.9765690676841408,0.003058786958407994,7695.2,5
species_multihead_no_enrichment,Cotrimoxazol,0.8344038137019087,0.04990166810610192,286.6,5
species_multihead_no_enrichment,Cotrimoxazole,0.8597158663472746,0.003321037721838181,5562.6,5
species_multihead_no_enrichment,Daptomycin,0.8699031231816144,0.02833128173448336,3539.6,5
species_multihead_no_enrichment,Doxycycline,0.631331313114148,0.08774108428455231,164.4,5
species_multihead_no_enrichment,Ertapenem,0.9245202223210566,0.009263318601606719,7267.6,5
species_multihead_no_enrichment,Erythromycin,0.8950424451000074,0.0037226891651718657,3441.2,5
species_multihead_no_enrichment,Fluconazole,0.7629265654254214,0.18043740316750162,61.2,5
species_multihead_no_enrichment,Fosfomycin,0.7442748649506468,0.005901247883382664,5994.2,5
species_multihead_no_enrichment,Fusidic acid,0.8598282425035645,0.013918682423390711,2490.6,5
species_multihead_no_enrichment,Gentamicin,0.9131838851189862,0.0035755729891835866,8326.8,5
species_multihead_no_enrichment,Gentamicin_high_level,0.7718590753948502,0.05153583950748037,129.2,5
species_multihead_no_enrichment,Imipenem,0.969003801924087,0.002451727329418807,11475.0,5
species_multihead_no_enrichment,Itraconazole,0.6284565380812354,0.13721444553077683,56.6,5
species_multihead_no_enrichment,Levofloxacin,0.8852016727406552,0.00508342290140549,9128.4,5
species_multihead_no_enrichment,Linezolid,0.8920629257947901,0.044854823373474996,3871.6,5
species_multihead_no_enrichment,Meropenem,0.9412911400703855,0.0035951656990505874,9726.8,5
species_multihead_no_enrichment,Meropenem_with_meningitis,0.6729158040027605,0.20431916563047017,25.2,5
species_multihead_no_enrichment,Meropenem_without_meningitis,0.8602339181286549,0.19825596412458188,15.666666666666666,3
species_multihead_no_enrichment,Micafungin,0.9076691976225518,0.03780102116543733,61.4,5
species_multihead_no_enrichment,Minocycline,0.8795342957273953,0.0068318569791960436,1954.2,5
species_multihead_no_enrichment,Moxifloxacin,0.9824523506878815,0.01328732090466445,179.6,5
species_multihead_no_enrichment,Mupirocin,0.9581374351095636,0.004012903593047789,1645.6,5
species_multihead_no_enrichment,Nitrofurantoin,0.9001711664365464,0.0034978219698551297,4254.0,5
species_multihead_no_enrichment,Norfloxacin,0.8642873194473066,0.007425343231624234,4989.2,5
species_multihead_no_enrichment,Oxacillin,0.9182867863886237,0.005765254735768149,3112.0,5
species_multihead_no_enrichment,Penicillin,0.9487507326901385,0.005436890015365547,3450.8,5
species_multihead_no_enrichment,Penicillin_with_meningitis,0.7669421811023573,0.1090154045708181,51.0,5
species_multihead_no_enrichment,Penicillin_with_other_infections,0.7438358455270221,0.12453377430102673,51.2,5
species_multihead_no_enrichment,Penicillin_with_pneumonia,0.8733333333333334,0.11880403369452879,51.2,5
species_multihead_no_enrichment,Piperacillin,0.9091998669447211,0.015337485306204985,3778.2,5
species_multihead_no_enrichment,Piperacillin-Tazobactam,0.8750048724654927,0.007952263931004351,5855.8,5
species_multihead_no_enrichment,Polymyxin B,0.999793842034806,0.00046098322427703904,519.4,5
species_multihead_no_enrichment,Posaconazole,0.6261430675036813,0.12491620705813485,58.4,5
species_multihead_no_enrichment,Pristinamycin,0.9657051679697473,0.0034796349282996903,1338.2,5
species_multihead_no_enrichment,Rifampicin,0.8884570444975971,0.006032179004725127,2316.6,5
species_multihead_no_enrichment,Strepomycin_high_level,0.5927777777777778,0.15682438985739966,16.2,5
species_multihead_no_enrichment,Teicoplanin,0.9415497012032213,0.008233336931694752,2826.6,5
species_multihead_no_enrichment,Tetracycline,0.9118760121714511,0.0028024568354150714,3326.6,5
species_multihead_no_enrichment,Ticarcillin,0.9174155504204385,0.009513490949267015,1736.0,5
species_multihead_no_enrichment,Tigecycline,0.9931787798147237,0.0022113032265916152,3664.8,5
species_multihead_no_enrichment,Tobramycin,0.8881503381721721,0.005444779287931929,9029.2,5
species_multihead_no_enrichment,Vancomycin,0.9633427196468011,0.01696958202495644,4168.2,5
species_multihead_no_enrichment,Voriconazole,0.5815687203427758,0.22678759741617108,61.8,5
