model_mode,fold,species_id,species,n_val_samples,n_val_pairs,auc
global_plus_species,3,1,Candida_Albicans,58,381,0.8256484149855907
global_plus_species,3,2,Citrobacter_Freundii,136,2168,0.8788799452861953
global_plus_species,3,3,Citrobacter_Koseri,181,2902,0.9751613159956901
global_plus_species,3,4,Enterobacter_Cloacae,303,4464,0.9181830262022407
global_plus_species,3,5,Enterococcus_Faecalis,896,13774,0.988650227995851
global_plus_species,3,6,Enterococcus_Faecium,444,4866,0.9754416957248732
global_plus_species,3,7,Escherichia_Coli,1556,24761,0.8652804546131591
global_plus_species,3,8,Haemophilus_Influenzae,203,679,0.8362326587137685
global_plus_species,3,9,Klebsiella_Oxytoca,256,4222,0.9316083927641745
global_plus_species,3,10,Klebsiella_Pneumoniae,3850,68131,0.8734905592812376
global_plus_species,3,11,Klebsiella_Variicola,135,2144,0.9225408115383665
global_plus_species,3,12,Morganella_Morganii,156,2560,0.9290519183161742
global_plus_species,3,13,Proteus_Mirabilis,457,8258,0.9161229904201248
global_plus_species,3,14,Proteus_Vulgaris,83,1240,0.9609788955675971
global_plus_species,3,15,Pseudomonas_Aeruginosa,1081,13062,0.9522747152183131
global_plus_species,3,16,Serratia_Marcescens,257,4001,0.9612053226116763
global_plus_species,3,17,Staphylococcus_Aureus,1453,28324,0.9373913430777673
global_plus_species,3,18,Staphylococcus_Capitis,82,1753,0.9340099044430494
global_plus_species,3,19,Staphylococcus_Epidermidis,1142,23131,0.9283869724892997
global_plus_species,3,20,Staphylococcus_Haemolyticus,66,1369,0.9483035393229567
global_plus_species,3,21,Staphylococcus_Hominis,160,3276,0.8683757265715326
global_plus_species,3,22,Staphylococcus_Lugdunensis,96,1942,0.8703548891169925
global_plus_species,3,23,Stenotrophomonas_Maltophilia,143,898,0.9793833506278304
global_plus_species,3,24,Streptococcus_Pneumoniae,75,779,0.8566077989806803
global_plus_species,4,0,Campylobacter_Jejuni,96,219,0.9175084175084175
global_plus_species,4,1,Candida_Albicans,66,501,0.7573586744639377
global_plus_species,4,2,Citrobacter_Freundii,132,2104,0.8751151168014375
global_plus_species,4,3,Citrobacter_Koseri,174,2764,0.9744288618785382
global_plus_species,4,4,Enterobacter_Cloacae,324,4832,0.9040820558374616
global_plus_species,4,5,Enterococcus_Faecalis,935,14775,0.9872496656816909
global_plus_species,4,6,Enterococcus_Faecium,439,4796,0.9744357096451839
global_plus_species,4,7,Escherichia_Coli,1523,24120,0.8605723565062782
global_plus_species,4,8,Haemophilus_Influenzae,151,470,0.8224747474747475
global_plus_species,4,9,Klebsiella_Oxytoca,251,4109,0.9453439798898376
global_plus_species,4,10,Klebsiella_Pneumoniae,3914,69309,0.8672496558103244
global_plus_species,4,11,Klebsiella_Variicola,130,2062,0.898327950255971
global_plus_species,4,12,Morganella_Morganii,174,2803,0.931419590049212
global_plus_species,4,13,Proteus_Mirabilis,495,8843,0.9184906961865538
global_plus_species,4,14,Proteus_Vulgaris,63,923,0.9801969272557507
global_plus_species,4,15,Pseudomonas_Aeruginosa,1057,12536,0.9536566759647275
global_plus_species,4,16,Serratia_Marcescens,263,4114,0.9608892414427785
global_plus_species,4,17,Staphylococcus_Aureus,1433,27930,0.9248346098439126
global_plus_species,4,18,Staphylococcus_Capitis,80,1590,0.9146821239844496
global_plus_species,4,19,Staphylococcus_Epidermidis,1155,23351,0.9236684507968624
global_plus_species,4,20,Staphylococcus_Haemolyticus,64,1371,0.9122095002979483
global_plus_species,4,21,Staphylococcus_Hominis,125,2611,0.8300727684938018
global_plus_species,4,22,Staphylococcus_Lugdunensis,100,2090,0.8949089499688955
global_plus_species,4,23,Stenotrophomonas_Maltophilia,130,839,0.9711991496207768
global_plus_species,4,24,Streptococcus_Pneumoniae,92,979,0.8409087924354849
