fold,antibiotic_id,antibiotic,n_val_pairs,auc
3,2,Amoxicillin-Clavulanic acid,5725,0.9098851218284283
3,3,Amoxicillin-Clavulanic acid_uncomplicated_HWI,19,0.8714285714285714
3,4,Ampicillin,4313,0.9552598717115545
3,5,Anidulafungin,54,0.6746031746031745
3,6,Azithromycin,40,0.74609375
3,7,Aztreonam,4371,0.8445341445440893
3,8,Benzylpenicillin,128,0.7971428571428572
3,9,Caspofungin,58,0.9924528301886792
3,10,Cefazolin,1929,0.9264997746180541
3,11,Cefepime,10035,0.879930680399442
3,12,Cefixime,2989,0.7810127507809294
3,13,Cefotaxime,3940,0.8876684836346971
3,14,Cefoxitin,1292,0.9526834248234155
3,15,Cefpodoxime,1199,0.8850595238095239
3,16,Ceftazidime,7704,0.8411068779305195
3,17,Ceftolozane-Tazobactam,21,0.8444444444444444
3,18,Ceftriaxone,5315,0.886428022822032
3,19,Cefuroxime,6829,0.8615984998487474
3,20,Chloramphenicol,1588,0.9524800356699841
3,21,Ciprofloxacin,12182,0.8556463062799052
3,22,Clarithromycin,255,0.7690587972278113
3,23,Clindamycin,3291,0.8731081654696848
3,24,Colistin,7688,0.9718588120256526
3,25,Cotrimoxazol,278,0.8653926049023681
3,26,Cotrimoxazole,5542,0.8478008756806371
3,27,Daptomycin,3499,0.9135011990407674
3,28,Doxycycline,170,0.6675
3,29,Ertapenem,7306,0.9322924996970798
3,30,Erythromycin,3406,0.878738621586476
3,31,Fluconazole,57,0.16363636363636364
3,32,Fosfomycin,6020,0.7343512800020462
3,33,Fusidic acid,2495,0.8372544334469839
3,34,Gentamicin,8366,0.9103422912768131
3,35,Gentamicin_high_level,124,0.8374999999999999
3,36,Imipenem,11428,0.9655078022993752
3,37,Itraconazole,51,0.3538961038961039
3,38,Levofloxacin,9067,0.8690983031593893
3,39,Linezolid,3828,0.8853074772886094
3,40,Meropenem,9704,0.9295678444380039
3,41,Meropenem_with_meningitis,28,0.5652173913043478
3,42,Meropenem_without_meningitis,21,0.26315789473684215
3,43,Micafungin,54,1.0
3,44,Minocycline,1929,0.8657880505843195
3,45,Moxifloxacin,173,0.9776223776223777
3,46,Mupirocin,1616,0.9476785939840127
3,47,Nitrofurantoin,4211,0.8795938104448742
3,48,Norfloxacin,4954,0.8562095067620282
3,49,Oxacillin,3079,0.91505075681965
3,50,Penicillin,3455,0.9360934645530085
3,51,Penicillin_with_meningitis,37,0.70625
3,52,Penicillin_with_other_infections,37,0.7
3,53,Penicillin_with_pneumonia,37,0.9722222222222222
3,54,Piperacillin,3796,0.9377463397537001
3,55,Piperacillin-Tazobactam,5768,0.8679356756907308
3,56,Polymyxin B,524,1.0
3,57,Posaconazole,51,0.16000000000000003
3,58,Pristinamycin,1295,0.9693394408801032
3,59,Rifampicin,2321,0.8589403063677787
3,60,Strepomycin_high_level,18,0.5076923076923077
3,61,Teicoplanin,2790,0.9658071955719557
3,62,Tetracycline,3294,0.8967988760993298
3,63,Ticarcillin,1814,0.9262349989883096
3,64,Tigecycline,3680,0.9934661157631374
3,65,Tobramycin,8998,0.8798330790771254
3,66,Vancomycin,4127,0.9634438456094507
3,67,Voriconazole,56,0.4
4,0,5-Fluorocytosine,63,0.32258064516129037
4,1,Amikacin,8944,0.8707734716468443
4,2,Amoxicillin,33,0.8970588235294118
4,3,Amoxicillin-Clavulanic acid,5677,0.8991966518892415
