model_mode,fold,species_id,species,n_val_samples,n_val_pairs,species_micro_auc,species_macro_antibiotic_auc,n_antibiotics_with_auc,mean_pairs_per_antibiotic_with_auc
species_multihead_no_enrichment,3,21,Staphylococcus_Hominis,160,3276,0.8633164525887328,0.7063456188716112,22,112.77272727272727
species_multihead_no_enrichment,3,22,Staphylococcus_Lugdunensis,96,1942,0.8690462332934741,0.7343801829540023,19,62.10526315789474
species_multihead_no_enrichment,3,23,Stenotrophomonas_Maltophilia,143,898,0.9761215280291512,0.7106072240720286,7,50.714285714285715
species_multihead_no_enrichment,3,24,Streptococcus_Pneumoniae,75,779,0.8408557544150764,0.7900729571642903,22,28.227272727272727
species_multihead_no_enrichment,4,0,Campylobacter_Jejuni,96,219,0.9486036838978016,0.9310185185185186,3,67.0
species_multihead_no_enrichment,4,1,Candida_Albicans,66,501,0.7335282651072124,0.595913333498849,8,62.625
species_multihead_no_enrichment,4,2,Citrobacter_Freundii,132,2104,0.8760121855345911,0.6071554702014123,20,77.25
species_multihead_no_enrichment,4,3,Citrobacter_Koseri,174,2764,0.9676234845147852,0.6310509955321901,17,87.76470588235294
species_multihead_no_enrichment,4,4,Enterobacter_Cloacae,324,4832,0.8943593969693281,0.5746509567221306,23,182.2608695652174
species_multihead_no_enrichment,4,5,Enterococcus_Faecalis,935,14775,0.9872464470691092,0.6486174617741387,22,520.9090909090909
species_multihead_no_enrichment,4,6,Enterococcus_Faecium,439,4796,0.9753273375444749,0.8512393688605769,22,185.72727272727272
species_multihead_no_enrichment,4,7,Escherichia_Coli,1523,24120,0.8519788619586818,0.6902263399053491,30,796.9
species_multihead_no_enrichment,4,8,Haemophilus_Influenzae,151,470,0.8393939393939394,0.6685881604449634,12,33.5
species_multihead_no_enrichment,4,9,Klebsiella_Oxytoca,251,4109,0.9446741085484762,0.7488658318635053,22,142.6818181818182
species_multihead_no_enrichment,4,10,Klebsiella_Pneumoniae,3914,69309,0.876676725185755,0.7163908215687664,36,1923.111111111111
species_multihead_no_enrichment,4,11,Klebsiella_Variicola,130,2062,0.9242106650847011,0.7325545040189156,15,93.86666666666666
species_multihead_no_enrichment,4,12,Morganella_Morganii,174,2803,0.9357617725405211,0.6008791819507391,23,91.8695652173913
species_multihead_no_enrichment,4,13,Proteus_Mirabilis,495,8843,0.9250095560106925,0.7467805631302461,27,292.0
species_multihead_no_enrichment,4,14,Proteus_Vulgaris,63,923,0.9827094474153297,0.6995448406783117,9,47.111111111111114
species_multihead_no_enrichment,4,15,Pseudomonas_Aeruginosa,1057,12536,0.9510267199299531,0.7151030194643299,20,539.85
species_multihead_no_enrichment,4,16,Serratia_Marcescens,263,4114,0.970657015503936,0.6920185738496084,19,149.3684210526316
species_multihead_no_enrichment,4,17,Staphylococcus_Aureus,1433,27930,0.9297155006728712,0.7814764766017572,32,714.625
species_multihead_no_enrichment,4,18,Staphylococcus_Capitis,80,1590,0.9233768652373303,0.7785738760369485,24,51.125
species_multihead_no_enrichment,4,19,Staphylococcus_Epidermidis,1155,23351,0.9299542553455895,0.8178720938794344,34,618.4117647058823
