model_mode,species,antibiotic,mean_species_antibiotic_auc,std_species_antibiotic_auc,mean_n_val_pairs,mean_n_susceptible,mean_n_resistant,n_folds,n_folds_with_valid_auc
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Voriconazole,0.8223500661847062,0.17930756842600662,61.8,60.0,1.8,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,5-Fluorocytosine,,,0.0,,,4,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Amikacin,0.5319617510087086,0.09732833175169658,122.4,116.6,5.8,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Amoxicillin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Amoxicillin-Clavulanic acid,0.2823529411764706,,92.8,0.2,92.6,5,1
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Amoxicillin-Clavulanic acid_uncomplicated_HWI,0.875,0.25,2.8,0.8,2.0,5,4
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Ampicillin,,,47.6,0.0,47.6,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Anidulafungin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Azithromycin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Aztreonam,0.5834994613357186,0.06406101117180046,33.4,22.0,11.4,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Benzylpenicillin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Caspofungin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Cefazolin,,,0.2,0.0,1.0,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Cefepime,0.5993950785616367,0.21458713415272687,124.4,120.0,4.4,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Cefixime,0.5863776036141362,0.04781527717043174,32.4,19.8,12.6,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Cefotaxime,0.562215762015762,0.07816776795588068,32.6,21.2,11.4,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Cefoxitin,,,36.2,0.0,36.2,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Cefpodoxime,,,39.4,0.0,39.4,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Ceftazidime,0.6346580979863513,0.06952052295208726,125.0,84.8,40.2,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Ceftazidime-Avibactam,,,0.0,,,1,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Ceftobiprole,,,0.0,,,1,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Ceftolozane-Tazobactam,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Ceftriaxone,0.670570618577935,0.06408990211018774,95.2,64.2,31.0,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Cefuroxime,0.5953785103785104,0.1436236448241312,15.8,10.0,5.8,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Chloramphenicol,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Ciprofloxacin,0.6380269111810803,0.07805825062686322,128.8,120.0,8.8,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Clarithromycin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Clindamycin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Colistin,0.6401752420841846,0.15298354756030286,114.2,111.6,2.6,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Cotrimoxazol,,,3.0,3.0,0.0,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Cotrimoxazole,0.5848376601124838,0.14655771625357464,92.6,86.4,6.2,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Daptomycin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Doxycycline,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Ertapenem,0.7189872045109521,0.3544698587714413,118.2,117.4,0.8,5,3
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Erythromycin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Fluconazole,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Fosfomycin,0.5969146616185249,0.21126188099400145,42.2,37.8,4.4,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Fusidic acid,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Gentamicin,0.6689265536723165,0.24144309130909977,47.6,44.8,2.8,5,4
