model_mode,fold,antibiotic_id,antibiotic,n_val_pairs,antibiotic_auc
species_multihead_no_enrichment,3,56,Polymyxin B,524,1.0
species_multihead_no_enrichment,3,57,Posaconazole,51,0.6
species_multihead_no_enrichment,3,58,Pristinamycin,1295,0.9687012311427086
species_multihead_no_enrichment,3,59,Rifampicin,2321,0.8622871491921018
species_multihead_no_enrichment,3,60,Strepomycin_high_level,18,0.5230769230769231
species_multihead_no_enrichment,3,61,Teicoplanin,2790,0.9493081180811809
species_multihead_no_enrichment,3,62,Tetracycline,3294,0.9056763627197927
species_multihead_no_enrichment,3,63,Ticarcillin,1814,0.9316136560527573
species_multihead_no_enrichment,3,64,Tigecycline,3680,0.9951736576583577
species_multihead_no_enrichment,3,65,Tobramycin,8998,0.8850904499469051
species_multihead_no_enrichment,3,66,Vancomycin,4127,0.9590614622461757
species_multihead_no_enrichment,3,67,Voriconazole,56,0.6
species_multihead_no_enrichment,4,0,5-Fluorocytosine,63,0.27419354838709675
species_multihead_no_enrichment,4,1,Amikacin,8944,0.8818657430255031
species_multihead_no_enrichment,4,2,Amoxicillin,33,0.9154411764705883
species_multihead_no_enrichment,4,3,Amoxicillin-Clavulanic acid,5677,0.9087745371328215
species_multihead_no_enrichment,4,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,13,1.0
species_multihead_no_enrichment,4,5,Ampicillin,4247,0.9620079665881192
species_multihead_no_enrichment,4,6,Anidulafungin,63,0.5145772594752187
species_multihead_no_enrichment,4,7,Azithromycin,40,0.8653846153846154
species_multihead_no_enrichment,4,8,Aztreonam,4324,0.8401109164242263
species_multihead_no_enrichment,4,9,Benzylpenicillin,134,0.9019541778975741
species_multihead_no_enrichment,4,10,Caspofungin,66,0.8830645161290323
species_multihead_no_enrichment,4,11,Cefazolin,1854,0.9206552132254475
species_multihead_no_enrichment,4,12,Cefepime,10036,0.8813091407293109
species_multihead_no_enrichment,4,13,Cefixime,3028,0.7660671300201685
species_multihead_no_enrichment,4,14,Cefotaxime,3898,0.8813352799146499
species_multihead_no_enrichment,4,15,Cefoxitin,1210,0.958370664366796
species_multihead_no_enrichment,4,16,Cefpodoxime,1277,0.9044689863511486
species_multihead_no_enrichment,4,17,Ceftazidime,7747,0.8231080968648445
species_multihead_no_enrichment,4,18,Ceftazidime-Avibactam,7,0.33333333333333337
species_multihead_no_enrichment,4,19,Ceftobiprole,5,1.0
species_multihead_no_enrichment,4,20,Ceftolozane-Tazobactam,13,0.5
species_multihead_no_enrichment,4,21,Ceftriaxone,5322,0.8882278075485122
species_multihead_no_enrichment,4,22,Cefuroxime,6755,0.8715408344224564
species_multihead_no_enrichment,4,23,Chloramphenicol,1570,0.9488282678466727
species_multihead_no_enrichment,4,24,Ciprofloxacin,12231,0.8754855325319744
species_multihead_no_enrichment,4,25,Clarithromycin,247,0.7729428936325486
species_multihead_no_enrichment,4,26,Clindamycin,3303,0.8993292773320963
species_multihead_no_enrichment,4,27,Colistin,7746,0.9774996990766036
species_multihead_no_enrichment,4,28,Cotrimoxazol,268,0.8809865900383141
species_multihead_no_enrichment,4,29,Cotrimoxazole,5518,0.8573219074621561
species_multihead_no_enrichment,4,30,Daptomycin,3530,0.8724973656480507
species_multihead_no_enrichment,4,31,Doxycycline,159,0.6216216216216217
species_multihead_no_enrichment,4,32,Ertapenem,7313,0.9310233870403619
species_multihead_no_enrichment,4,33,Erythromycin,3438,0.899525527922301
species_multihead_no_enrichment,4,34,Fluconazole,62,0.6631578947368421
species_multihead_no_enrichment,4,35,Fosfomycin,6095,0.7429467048238134
species_multihead_no_enrichment,4,36,Fusidic acid,2429,0.837022379045076
species_multihead_no_enrichment,4,37,Gentamicin,8379,0.9159426466362529
species_multihead_no_enrichment,4,38,Gentamicin_high_level,122,0.7908163265306123
species_multihead_no_enrichment,4,39,Imipenem,11516,0.9697652181080163
species_multihead_no_enrichment,4,40,Itraconazole,58,0.5873015873015872
species_multihead_no_enrichment,4,41,Levofloxacin,9180,0.8857808862332933
species_multihead_no_enrichment,4,42,Linezolid,3850,0.9186528647645558
species_multihead_no_enrichment,4,43,Meropenem,9718,0.9483906367817667
