fold,antibiotic_id,antibiotic,n_val_pairs,auc
3,19,Cefuroxime,6829,0.8829423968044441
3,20,Chloramphenicol,1588,0.9501744437521317
3,21,Ciprofloxacin,12182,0.8625505735990339
3,22,Clarithromycin,255,0.7759892689470154
3,23,Clindamycin,3291,0.8770789829533249
3,24,Colistin,7688,0.9736469995072706
3,25,Cotrimoxazol,278,0.8839495914693256
3,26,Cotrimoxazole,5542,0.8548807993686666
3,27,Daptomycin,3499,0.8607673860911271
3,28,Doxycycline,170,0.474375
3,29,Ertapenem,7306,0.9300481643038894
3,30,Erythromycin,3406,0.8790268236787953
3,31,Fluconazole,57,0.036363636363636376
3,32,Fosfomycin,6020,0.7457574461675476
3,33,Fusidic acid,2495,0.8371341965880301
3,34,Gentamicin,8366,0.9138192733044574
3,35,Gentamicin_high_level,124,0.835
3,36,Imipenem,11428,0.9701033171929337
3,37,Itraconazole,51,0.33116883116883117
3,38,Levofloxacin,9067,0.8774655591054313
3,39,Linezolid,3828,0.8768125436757512
3,40,Meropenem,9704,0.9416652127695747
3,41,Meropenem_with_meningitis,28,0.6086956521739131
3,42,Meropenem_without_meningitis,21,0.5
3,43,Micafungin,54,0.9791666666666666
3,44,Minocycline,1929,0.8694440142481028
3,45,Moxifloxacin,173,0.9948717948717949
3,46,Mupirocin,1616,0.9633952254641909
3,47,Nitrofurantoin,4211,0.881092002354722
3,48,Norfloxacin,4954,0.8573487317446112
3,49,Oxacillin,3079,0.9219614998037321
3,50,Penicillin,3455,0.9378435185730842
3,51,Penicillin_with_meningitis,37,0.64375
3,52,Penicillin_with_other_infections,37,0.6375
3,53,Penicillin_with_pneumonia,37,0.9722222222222222
3,54,Piperacillin,3796,0.9318624639551372
3,55,Piperacillin-Tazobactam,5768,0.889127081940731
3,56,Polymyxin B,524,1.0
3,57,Posaconazole,51,0.07999999999999996
3,58,Pristinamycin,1295,0.9641326127584148
3,59,Rifampicin,2321,0.8387218647677055
3,60,Strepomycin_high_level,18,0.7076923076923077
3,61,Teicoplanin,2790,0.9670433579335794
3,62,Tetracycline,3294,0.8881218627207697
3,63,Ticarcillin,1814,0.9273075872853105
3,64,Tigecycline,3680,0.994537377034317
3,65,Tobramycin,8998,0.88371493177536
3,66,Vancomycin,4127,0.9631444281125809
3,67,Voriconazole,56,0.036363636363636376
4,0,5-Fluorocytosine,63,0.24193548387096775
4,1,Amikacin,8944,0.8769650641069753
4,2,Amoxicillin,33,0.8970588235294117
4,3,Amoxicillin-Clavulanic acid,5677,0.9030731595735553
4,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,13,1.0
4,5,Ampicillin,4247,0.9583661885188604
4,6,Anidulafungin,63,0.6603498542274052
4,7,Azithromycin,40,0.8543956043956045
4,8,Aztreonam,4324,0.8394844287225601
4,9,Benzylpenicillin,134,0.8724730458221024
4,10,Caspofungin,66,0.9153225806451614
4,11,Cefazolin,1854,0.9112352411399687
4,12,Cefepime,10036,0.8746361284801821
4,13,Cefixime,3028,0.7582490045398057
4,14,Cefotaxime,3898,0.8743561307952907
4,15,Cefoxitin,1210,0.9531652529718294
4,16,Cefpodoxime,1277,0.8919598196206342
4,17,Ceftazidime,7747,0.8375824395526068
4,18,Ceftazidime-Avibactam,7,0.16666666666666663
4,19,Ceftobiprole,5,1.0
4,20,Ceftolozane-Tazobactam,13,0.5909090909090908
4,21,Ceftriaxone,5322,0.8779809822866115
4,22,Cefuroxime,6755,0.8442466567215409
4,23,Chloramphenicol,1570,0.944111103620306
4,24,Ciprofloxacin,12231,0.8691314490995682
4,25,Clarithromycin,247,0.7925561029009304
4,26,Clindamycin,3303,0.8861821837355285
4,27,Colistin,7746,0.9775543374716109
4,28,Cotrimoxazol,268,0.8906848659003831
4,29,Cotrimoxazole,5518,0.8508327073135268
4,30,Daptomycin,3530,0.8048603793466808
4,31,Doxycycline,159,0.5466830466830467
4,32,Ertapenem,7313,0.917205256095829
4,33,Erythromycin,3438,0.8897551377245755
4,34,Fluconazole,62,0.6666666666666667
4,35,Fosfomycin,6095,0.7404015644894683
4,36,Fusidic acid,2429,0.8275140663742133
4,37,Gentamicin,8379,0.9088968559150556
4,38,Gentamicin_high_level,122,0.7372448979591837
4,39,Imipenem,11516,0.9626898439143563
4,40,Itraconazole,58,0.54421768707483
4,41,Levofloxacin,9180,0.8806008982375947
4,42,Linezolid,3850,0.8561383669682209
4,43,Meropenem,9718,0.9196858118896469
4,44,Meropenem_with_meningitis,22,0.7904761904761904
4,45,Meropenem_without_meningitis,9,1.0
4,46,Micafungin,65,0.8785310734463276
4,47,Minocycline,2024,0.8521737753712677
4,48,Moxifloxacin,195,0.983927323549965
4,49,Mupirocin,1632,0.9467134893172955
4,50,Nitrofurantoin,4312,0.8744911782467479
4,51,Norfloxacin,5059,0.8720240079577546
4,52,Oxacillin,3056,0.9001573467074351
4,53,Penicillin,3443,0.9420434422489348
4,54,Penicillin_with_meningitis,43,0.6818181818181819
4,55,Penicillin_with_other_infections,44,0.6857142857142857
4,56,Penicillin_with_pneumonia,44,0.7538461538461538
4,57,Piperacillin,3823,0.9259715222539318
4,58,Piperacillin-Tazobactam,5791,0.8501850519795908
4,59,Polymyxin B,551,1.0
4,60,Posaconazole,59,0.6454545454545455
4,61,Pristinamycin,1401,0.9555438234653673
4,62,Rifampicin,2248,0.8506410683732195
4,63,Strepomycin_high_level,16,0.55
4,64,Teicoplanin,2829,0.9434276956364948
4,65,Tetracycline,3312,0.8973096644193974
4,66,Ticarcillin,1704,0.9257121755644652
4,67,Tigecycline,3560,0.9957531712738307
4,68,Tobramycin,9117,0.8766204464121703
4,69,Vancomycin,4129,0.9715211543164588
4,70,Voriconazole,65,0.48412698412698413
