model_mode,antibiotic,mean_antibiotic_auc,std_antibiotic_auc,mean_n_val_pairs,n_folds
species_multihead_no_enrichment,Ceftolozane-Tazobactam,0.6111111111111112,0.16869140500765528,18.6,5
species_multihead_no_enrichment,Ceftriaxone,0.8965080975414713,0.0064445277362049835,5354.6,5
species_multihead_no_enrichment,Cefuroxime,0.878229795760879,0.005581867136941323,6751.6,5
species_multihead_no_enrichment,Chloramphenicol,0.9519479126434108,0.004691852235839547,1565.6,5
species_multihead_no_enrichment,Ciprofloxacin,0.8704774733314433,0.004459571598021565,12192.2,5
species_multihead_no_enrichment,Clarithromycin,0.7577299601102678,0.04447491687612806,263.2,5
species_multihead_no_enrichment,Clindamycin,0.897300110765579,0.007059461467242748,3330.6,5
species_multihead_no_enrichment,Colistin,0.9759310504494476,0.001791782856776498,7695.2,5
species_multihead_no_enrichment,Cotrimoxazol,0.8263800618937982,0.05974131915937237,286.6,5
species_multihead_no_enrichment,Cotrimoxazole,0.8567431558392915,0.005428544935750651,5562.6,5
species_multihead_no_enrichment,Daptomycin,0.8636589361717052,0.034983271496551914,3539.6,5
species_multihead_no_enrichment,Doxycycline,0.617016697874085,0.08871987943226867,164.4,5
species_multihead_no_enrichment,Ertapenem,0.9284480124819124,0.0033534754910092366,7267.6,5
species_multihead_no_enrichment,Erythromycin,0.8940781898968424,0.004439812889093767,3441.2,5
species_multihead_no_enrichment,Fluconazole,0.6678607631630101,0.1884035775393934,61.2,5
species_multihead_no_enrichment,Fosfomycin,0.7407109734801693,0.0047758867010225265,5994.2,5
species_multihead_no_enrichment,Fusidic acid,0.8536259952057519,0.013883005910239707,2490.6,5
species_multihead_no_enrichment,Gentamicin,0.9118695872812672,0.003397297137356262,8326.8,5
species_multihead_no_enrichment,Gentamicin_high_level,0.7618040533387787,0.04364069196061391,129.2,5
species_multihead_no_enrichment,Imipenem,0.9696735892666334,0.001463997045485484,11475.0,5
species_multihead_no_enrichment,Itraconazole,0.5481229599026209,0.1592289929275325,56.6,5
species_multihead_no_enrichment,Levofloxacin,0.8839710608707904,0.007059028544671809,9128.4,5
species_multihead_no_enrichment,Linezolid,0.9161249634436501,0.04117672280745894,3871.6,5
species_multihead_no_enrichment,Meropenem,0.9483637406728992,0.0028032339520363235,9726.8,5
species_multihead_no_enrichment,Meropenem_with_meningitis,0.6723844030365769,0.17477964153036535,25.2,5
species_multihead_no_enrichment,Meropenem_without_meningitis,0.9824561403508772,0.030386856273138165,15.666666666666666,3
species_multihead_no_enrichment,Micafungin,0.8696375442832501,0.07258992140268378,61.4,5
species_multihead_no_enrichment,Minocycline,0.871402214917756,0.003082434959171471,1954.2,5
species_multihead_no_enrichment,Moxifloxacin,0.9855954849237728,0.008088487023167619,179.6,5
species_multihead_no_enrichment,Mupirocin,0.959090349202568,0.004833263125791285,1645.6,5
species_multihead_no_enrichment,Nitrofurantoin,0.8828386247297806,0.011403947624779233,4254.0,5
species_multihead_no_enrichment,Norfloxacin,0.863677757677755,0.0046556847496096185,4989.2,5
species_multihead_no_enrichment,Oxacillin,0.917996949609946,0.007120757277166897,3112.0,5
species_multihead_no_enrichment,Penicillin,0.9484829242221195,0.0025016402823841697,3450.8,5
species_multihead_no_enrichment,Penicillin_with_meningitis,0.776735557688878,0.07932166145396992,51.0,5
species_multihead_no_enrichment,Penicillin_with_other_infections,0.7646379845644553,0.0932197636691251,51.2,5
species_multihead_no_enrichment,Penicillin_with_pneumonia,0.9184615384615384,0.11684474996765278,51.2,5
species_multihead_no_enrichment,Piperacillin,0.9208310085178892,0.01099872178716776,3778.2,5
species_multihead_no_enrichment,Piperacillin-Tazobactam,0.8720277293059244,0.005448018068387928,5855.8,5
species_multihead_no_enrichment,Polymyxin B,0.9992211514431905,0.0015269881368706608,519.4,5
species_multihead_no_enrichment,Posaconazole,0.46670696737192896,0.23700433247945144,58.4,5
species_multihead_no_enrichment,Pristinamycin,0.9650896791141885,0.002259229202024402,1338.2,5
species_multihead_no_enrichment,Rifampicin,0.8870252641015188,0.019655165831179214,2316.6,5
species_multihead_no_enrichment,Strepomycin_high_level,0.5685470085470086,0.13915280645028583,16.2,5
species_multihead_no_enrichment,Teicoplanin,0.9364863256458682,0.014505284226654884,2826.6,5
species_multihead_no_enrichment,Tetracycline,0.9062378386650296,0.0036189979683488344,3326.6,5
species_multihead_no_enrichment,Ticarcillin,0.9228615942787848,0.006246476062426476,1736.0,5
species_multihead_no_enrichment,Tigecycline,0.9940687550251347,0.002099825483833073,3664.8,5
species_multihead_no_enrichment,Tobramycin,0.8855374467779106,0.00456002841533502,9029.2,5
species_multihead_no_enrichment,Vancomycin,0.9682812775227859,0.006607991171230161,4168.2,5
species_multihead_no_enrichment,Voriconazole,0.6373929143636914,0.20454399314262717,61.8,5
