model_mode,species,mean_species_micro_auc,std_species_micro_auc,mean_species_macro_antibiotic_auc,std_species_macro_antibiotic_auc,mean_n_val_pairs,mean_n_antibiotics_with_auc,n_folds
implicit_species_hypernetwork_no_enrichment,Staphylococcus_Epidermidis,0.9298969087263422,0.0028911126172984796,0.805643514986019,0.01193277654399249,23216.8,33.0,5
implicit_species_hypernetwork_no_enrichment,Staphylococcus_Haemolyticus,0.9354698031089512,0.018295117105892086,0.8575212251198941,0.01786020662023141,1303.0,24.2,5
implicit_species_hypernetwork_no_enrichment,Staphylococcus_Hominis,0.8727295214291916,0.026674981286786144,0.7259489084289663,0.03397477510162378,3265.0,22.8,5
implicit_species_hypernetwork_no_enrichment,Staphylococcus_Lugdunensis,0.9172865273542652,0.03043160956254758,0.7093047121947619,0.11353383929241705,1950.0,18.8,5
implicit_species_hypernetwork_no_enrichment,Stenotrophomonas_Maltophilia,0.9787188632559412,0.006549176964409309,0.7423202773824666,0.08232113112862006,761.6,6.4,5
implicit_species_hypernetwork_no_enrichment,Streptococcus_Pneumoniae,0.8476768810708929,0.026675677923341825,0.7492129781061475,0.02128680685056622,1041.2,23.8,5
species_multihead_no_enrichment,Campylobacter_Jejuni,0.9082564438467102,0.031168767278215555,0.6828270891521229,0.18095890573059736,223.6,3.4,5
species_multihead_no_enrichment,Candida_Albicans,0.8080125124269607,0.04499196075220406,0.6551477523196219,0.052827088551031465,471.8,7.8,5
species_multihead_no_enrichment,Citrobacter_Freundii,0.8811605808717913,0.025124970523799858,0.6213828607203831,0.0421486095936396,2086.8,21.8,5
species_multihead_no_enrichment,Citrobacter_Koseri,0.9633615631917909,0.015486995141283221,0.7139904135177106,0.07725434893718165,2728.4,18.6,5
species_multihead_no_enrichment,Enterobacter_Cloacae,0.9034878225576655,0.012541326388415595,0.6456372080329768,0.04904385688074644,4775.4,23.4,5
species_multihead_no_enrichment,Enterococcus_Faecalis,0.9876670147585118,0.0009804787415935146,0.696291405075672,0.03870423881594563,14333.8,20.6,5
species_multihead_no_enrichment,Enterococcus_Faecium,0.9753363554059907,0.002983614776266749,0.8037400568061173,0.03333857486514902,4839.4,22.2,5
species_multihead_no_enrichment,Escherichia_Coli,0.8634736790747131,0.007085737966428405,0.685102756797292,0.01311605942130729,24566.2,30.0,5
species_multihead_no_enrichment,Haemophilus_Influenzae,0.8398529080149142,0.016458368183885446,0.6743161329779481,0.039604258706909014,542.4,10.0,5
species_multihead_no_enrichment,Klebsiella_Oxytoca,0.9321690027767502,0.013112314054004587,0.6925552855881026,0.04812675951010516,4096.8,22.0,5
species_multihead_no_enrichment,Klebsiella_Pneumoniae,0.8744020356361082,0.0046323377400723665,0.733825808901045,0.013255813818150327,68138.8,32.8,5
species_multihead_no_enrichment,Klebsiella_Variicola,0.9354038816365222,0.01908145583412456,0.7712341888409522,0.08374542564621287,2105.2,14.6,5
species_multihead_no_enrichment,Morganella_Morganii,0.9360107103111716,0.011290533131985426,0.6372517333731456,0.06737476898054826,2667.4,21.6,5
species_multihead_no_enrichment,Proteus_Mirabilis,0.9170315308194417,0.005470733272155535,0.7152286868309904,0.020245947163395766,8607.6,27.2,5
species_multihead_no_enrichment,Proteus_Vulgaris,0.9786885665151349,0.009889379089442532,0.7174882394532106,0.06680043020286036,1294.8,11.8,5
